name,symbol,contract_address,decimal
CEEK,CEEK,0xe0f94ac5462997d2bc57287ac3a3ae4c31345d66,18
Wrapped MTRG on BSC by Meter.io,MTRG,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f,18
BNB48 Club Token,KOGE,0xe6df05ce8c8301223373cf5b969afcb1498c5528,18
Binance-Peg IDEX Token,IDEX,0x0856978f7ffff0a2471b4520e3521c4b3343e36f,18
BNBPay,BPAY,0xebc76079da0c245fae7225b58a57a54809b40618,9
Refinable,FINE,0x4e6415a5727ea08aae4580057187923aec331227,18
Radio Caca V2,RACA,0x12bb890508c125661e03b09ec06e404bc9289040,18
Bella Protocol,BEL,0x8443f091997f06a61670b735ed92734f5628692f,18
Venus USDT,vUSDT,0xfd5840cd36d94d7229439859c0112a4185bc0255,8
SeedifyFund,SFUND,0x477bc8d23c634c154061869478bce96be6045d12,18
Singularity Dao,SDAO,0x90ed8f1dc86388f14b64ba8fb4bbd23099f18240,18
Travala.com Token,AVA,0x13616f44ba82d63c8c0dc3ff843d36a8ec1c05a9,18
Reef.finance,REEF,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,18
LooksRare,LOOKS,0x590d11c0696b0023176f5d7587d6b2f502a08047,18
Frax Price Index Share,FPIS,0xd1738eb733a636d1b8665f48bc8a24da889c2562,18
pTokens TLOS,TLOS,0xb6c53431608e626ac81a9776ac3e999c5556717c,18
HELLO,HELLO,0x0f1cbed8efa0e012adbccb1638d0ab0147d5ac00,18
Automata,ATA,0xa2120b9e674d3fc3875f415a7df52e382f141225,18
Altura,ALU,0x8263cd1601fe73c066bf49cc09841f35348e3be0,18
BakeryToken,BAKE,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18
Binance-Peg Komodo Token,KMD,0x2003f7ba57ea956b05b85c60b4b2ceea9b111256,18
Bolide,BLID,0x766AFcf83Fd5eaf884B3d529b432CA27A6d84617,18
Litentry,LIT,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,18
Mai Stablecoin,MAI,0x3F56e0c36d275367b8C502090EDF38289b3dEa0d,18
Measurable Data Token,MDT,0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1,18
PolkastarterToken,POLS,0x7e624fa0e1c4abfd309cc15719b7e2580887f570,18
USD+,USD+,0xe80772eaf6e2e18b651f160bc9158b2a5cafca65,6
beefy.finance,BIFI,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18
DIAToken,DIA,0x99956d38059cf7beda96ec91aa7bb2477e0901dd,18
Biswap,BSW,0x965f527d9159dce6288a2219db51fc6eef120dd1,18
Unidef,U,0x89dB9B433FeC1307d3dc8908f2813e9f7a1d38F0,18
Poollotto.finance,PLT,0x631c2f0edabac799f07550aee4ff0bf7fd35212b,18
LTO Network,LTO,0x857b222fc79e1cbbf8ca5f78cb133d1b7cf34bbd,18
Cream,CREAM,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18
StrikeX,STRX,0xd6fdde76b8c1c45b33790cc8751d5b88984c44ec,18
Venus ETH,vETH,0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,8
AMPL secured by Meter Passport,AMPL,0xdb021b1b247fe2f1fa57e0a87c748cc1e321f07f,9
Onyxcoin,XCN,0x7324c7c0d95cebc73eea7e85cbaac0dbdf88a05b,18
AlpacaToken,ALPACA,0x8f0528ce5ef7b51152a59745befdd91d97091d2f,18
NuNet Utility Token,NTX,0x5c4bcc4dbaeabc7659f6435bce4e659314ebad87,6
Metahero,HERO,0xd40bedb44c081d2935eeba6ef5a3c8a31a1bbe13,18
Velas,VLX,0xe9c803f48dffe50180bd5b01dc04da939e3445fc,18
KardiaChain Token,KAI,0x39ae8eefb05138f418bb27659c21632dc1ddab10,18
SAITO,SAITO,0x3c6dad0475d3a1696b359dc04c99fd401be134da,18
Everdome,DOME,0x475bfaa1848591ae0e6ab69600f48d828f61a80e,18
Contentos,COS,0x96dd399f9c3afda1f194182f71600f1b65946501,18
Clover,CLV,0x09e889bb4d5b474f561db0491c38702f367a4e4d,18
RAMP DEFI,RAMP,0x8519ea49c997f50ceffa444d240fb655e89248aa,18
EverGrow Coin,EGC,0xC001BBe2B87079294C63EcE98BdD0a88D761434e,9
ParaSwap,PSP,0xcafe001067cdef266afb7eb5a286dcfd277f3de5,18
AdEx Network,ADX,0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819,18
Binance-Peg YFII.finance Token,YFII,0x7f70642d88cf1c4a3a7abb072b53b929b653eda5,18
DeRace Token,DERC,0x373e768f79c820aa441540d254dca6d045c6d25b,18
Tokocrypto Token,TKO,0x9f589e3eabe42ebc94a44727b3f3531c0c877809,18
PLAY,PLAY,0xD069599E718f963bD84502b49ba8F8657fAF5B3a,18
TOR,TOR,0x1d6Cbdc6b29C6afBae65444a1f65bA9252b8CA83,18
RFOX,RFOX,0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,18
decentral.games on xDai from xDai,$DG,0x9fdc3ae5c814b79dca2556564047c5e7e5449c19,18
Gamium,GMM,0x5b6bf0c7f989de824677cfbd507d9635965e9cd3,18
BIDR BEP20,BIDR,0x9a2f5556e9a637e8fbce886d8e3cf8b316a1d8a2,18
Binance-Peg dForce Token,DF,0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623,18
dForce Token,iDF,0xec3fd540a2dee6f479be539d64da593a59e12d08,18
TOKPIE,TKP,0x7849ed1447250d0b896f89b58f3075b127ca29b3,18
Chess,CHESS,0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6,18
Proton,XPR,0x5de3939b2f811a61d830e6f52d13b066881412ab,4
Burger Swap,BURGER,0xae9269f27437f0fcbc232d39ec814844a51d6b8f,18
FARM Reward Token,FARM,0x4b5c23cac08a567ecf0c1ffca8372a45a5d33743,18
Parsiq Token,PRQ,0xd21d29b38374528675c34936bf7d5dd693d2a577,18
FC Santos Fan Token,SANTOS,0xa64455a4553c9034236734faddaddbb64ace4cc7,8
Binance-Peg MANTRA DAO Token,OM,0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2,18
The Force Token,FOR,0x658a109c5900bc6d2357c87549b651670e5b0539,18
Ellipsis,EPS,0xa7f552078dcc247c2684336020c03648500c6d9f,18
bZx Protocol Token,BZRX,0x4b87642aedf10b642be4663db842ecc5a88bf5ba,18
Frontier Token,FRONT,0x928e55dab735aa8260af3cedada18b5f70c72f1b,18
UniLend Finance Token,UFT,0x2645d5f59d952ef2317c8e0aaa5a61c392ccd44d,18
Hacken Token,HAI,0xaa9e582e5751d703f85912903bacaddfed26484c,8
GamiWorld.io,GAMI,0x1236a887ef31B4d32E1F0a2b5e4531F52CeC7E75,6
Binance-Peg TornadoCash Token,TORN,0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf,18
MATH Token,MATH,0xf218184af829cf2b0019f8e6f0b2423498a36983,18
NUM Token [via ChainPort.io],NUM,0xeceb87cf00dcbf2d4e2880223743ff087a995ad9,18
AIOZ Network,AIOZ,0x33d08d8c7a168333a85285a68c0042b39fc3741d,18
OVR,OVR,0x7e35d0e9180bf3a1fc47b0d110be7a21a10b41fe,18
Steam Exchange,SteamX,0xc0924edefb2c0c303de2d0c21bff07ab763163b5,9
IceToken,ICE,0xf16e81dce15b08f326220742020379b855b87df9,18
Fuse Token on BSC,FUSE,0x5857c96dae9cf8511b08cb07f85753c472d36ea3,18
AREON,AREA,0x3cb26f04223e948b8d810a7bd170620afbd42e67,18
Newscrypto,NWC,0x968f6f898a6df937fc1859b323ac2f14643e3fed,18
