network,symbol,contract_address,method_ID,method
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xd73dd623,"increaseApproval(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xdd62ed3e,"allowance(address,address)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x06fdde03,name()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x095ea7b3,"approve(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x18160ddd,totalSupply()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x313ce567,decimals()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x39509351,"increaseAllowance(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x3f4ba83a,unpause()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x46fbf68e,isPauser(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x5c975abb,paused()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x6ef8d66d,renouncePauser()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x70a08231,balanceOf(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x82dc1ec4,addPauser(address)
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x8456cb59,pause()
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x95d89b41,symbol()
